Apoapsis,200km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
0.18,1,651.04,1.6,0.4,89.97,0,121.25,94.41,0.09,-598435.6,1,False,0,31,
0.72,1,651.93,1.6,0.39,89.89,0.01,122.71,96.76,0.41,-598434.96,1,False,0,31,
1.26,1,652.85,1.61,0.39,89.73,0.03,125.89,101.88,0.74,-598433.14,1,False,0,31,
1.8,1,653.79,1.61,0.38,89.61,0.06,130.81,109.83,1.07,-598430.98,1,False,0,31,
2.34,1,654.76,1.62,0.38,89.48,0.1,137.48,120.62,1.41,-598428.65,1,False,0,31,
2.88,1,655.75,1.62,0.37,89.34,0.16,145.91,134.32,1.74,-598425.99,1,False,0,31,
3.42,1,656.77,1.63,0.37,89.19,0.22,156.13,150.95,2.08,-598422.89,1,False,0,31,
3.96,1,657.81,1.63,0.37,89.03,0.31,168.13,170.56,2.42,-598419.31,1,False,0,31,
4.5,1,658.87,1.64,0.36,88.86,0.4,181.94,193.18,2.77,-598415.24,1,False,0,31,
5.04,1,659.95,1.65,0.36,88.69,0.51,197.57,218.85,3.12,-598410.7,1,False,0,31,
5.58,1,661.05,1.65,0.36,88.51,0.63,215.03,247.61,3.46,-598405.66,1,False,0,31,
6.12,1,662.17,1.66,0.35,88.34,0.76,234.33,279.5,3.82,-598400.12,1,False,0,31,
6.66,1,663.31,1.66,0.35,88.16,0.91,255.49,314.55,4.17,-598394.08,1,False,0,31,
7.2,1,664.46,1.67,0.35,87.98,1.07,278.52,352.8,4.53,-598387.51,1,False,0,31,
7.74,1,665.62,1.68,0.35,87.8,1.25,303.44,394.28,4.89,-598380.42,1,False,0,31,
8.28,1,666.8,1.68,0.35,87.62,1.43,330.24,439.03,5.25,-598372.79,1,False,0,31,
8.82,1,667.98,1.69,0.35,87.43,1.64,358.95,487.08,5.61,-598364.64,1,False,0,31,
9.36,1,669.18,1.7,0.35,87.25,1.85,389.58,538.46,5.98,-598355.94,1,False,0,31,
9.9,1,670.39,1.71,0.35,87.06,2.08,422.13,593.2,6.35,-598346.7,1,False,0,31,
10.44,1,671.6,1.71,0.35,86.88,2.32,456.62,651.34,6.72,-598336.9,1,False,0,31,
10.98,1,672.82,1.72,0.35,86.69,2.58,493.06,712.9,7.09,-598326.55,1,False,0,31,
11.52,1,674.04,1.73,0.35,86.51,2.85,531.46,777.92,7.47,-598315.63,1,False,0,31,
12.06,1,675.27,1.73,0.35,86.32,3.13,571.82,846.42,7.84,-598304.12,1,False,0,31,
12.6,1,676.5,1.74,0.35,86.13,3.43,614.16,918.43,8.22,-598292.05,1,False,0,31,
13.14,1,677.73,1.75,0.35,85.94,3.73,658.49,993.98,8.6,-598279.39,1,False,0,31,
13.68,1,678.96,1.76,0.35,85.75,4.05,704.81,1073.09,8.99,-598266.14,1,False,0,31,
14.22,1,680.19,1.77,0.35,85.56,4.39,753.14,1155.79,9.37,-598252.3,1,False,0,31,
14.76,1,681.42,1.77,0.36,85.37,4.73,803.49,1242.11,9.76,-598237.83,1,False,0,31,
15.3,1,682.64,1.78,0.36,85.18,5.08,855.85,1332.06,10.15,-598222.77,1,False,0,31,
16.08,1,684.4,1.79,0.36,84.92,5.62,935.07,1468.45,10.72,-598199.59,1,False,2,31,
16.64,1,685.66,1.8,0.36,84.82,6.01,994.58,1571.06,11.12,-598181.99,1,False,2,31,
17.2,1,686.91,1.81,0.37,84.8,6.42,1056.28,1677.6,11.53,-598164.69,1,False,2,31,
17.76,1,688.15,1.82,0.37,84.63,6.83,1120.19,1788.26,11.94,-598149.98,1,False,2,31,
18.32,1,689.38,1.83,0.37,84,7.25,1186.3,1903.24,12.36,-598133.56,1,False,2,31,
18.88,1,690.6,1.84,0.38,83.17,7.69,1254.65,2022.77,12.78,-598112.18,1,False,2,31,
19.44,1,691.8,1.85,0.38,82.34,8.15,1325.26,2147.02,13.21,-598086.39,1,False,2,31,
20,1,692.99,1.86,0.39,81.59,8.63,1398.18,2275.9,13.64,-598057.54,1,False,2,31,
20.56,1,694.17,1.87,0.39,80.88,9.11,1473.41,2408.79,14.07,-598026.1,1,False,2,31,
21.12,1,695.33,1.88,0.39,80.19,9.6,1550.94,2545.43,14.5,-597992.01,1,False,2,31,
21.68,1,696.47,1.88,0.4,79.52,10.09,1630.75,2685.77,14.93,-597955.11,1,False,2,31,
22.24,1,697.6,1.89,0.4,78.85,10.58,1712.83,2829.77,15.36,-597915.28,1,False,2,31,
22.8,1,698.71,1.9,0.41,78.21,11.08,1797.16,2977.44,15.78,-597872.46,1,False,2,31,
23.36,1,699.79,1.91,0.41,77.58,11.58,1883.74,3128.78,16.21,-597826.72,1,False,2,31,
23.92,1,700.86,1.93,0.42,76.97,12.09,1972.55,3283.79,16.63,-597777.94,1,False,2,31,
24.48,1,701.91,1.94,0.42,76.37,12.6,2063.58,3442.5,17.05,-597726.13,1,False,2,31,
25.04,1,702.93,1.95,0.43,75.78,13.12,2156.83,3604.97,17.47,-597671.34,1,False,2,31,
25.6,1,703.93,1.96,0.43,75.21,13.63,2252.28,3771.18,17.89,-597613.42,1,False,2,31,
26.16,1,704.9,1.97,0.44,74.64,14.15,2349.94,3941.18,18.31,-597552.34,1,False,2,31,
26.72,1,705.85,1.98,0.44,74.09,14.68,2449.8,4115.05,18.74,-597488.2,1,False,2,31,
27.28,1,706.78,1.99,0.45,73.54,15.2,2551.86,4292.77,19.16,-597420.84,1,False,2,31,
27.84,1,707.68,2,0.46,73,15.73,2656.11,4474.38,19.58,-597350.14,1,False,2,31,
28.4,1,708.55,2.01,0.46,72.47,16.26,2762.56,4659.99,20.01,-597276.22,1,False,2,31,
28.96,1,709.39,2.02,0.47,71.95,16.8,2871.21,4849.62,20.43,-597198.97,1,False,2,31,
29.52,1,710.21,2.03,0.47,71.43,17.33,2982.05,5043.31,20.86,-597118.26,1,False,2,31,
30.08,1,710.99,2.04,0.48,70.91,17.87,3095.1,5241.1,21.29,-597034.03,1,False,2,31,
30.64,1,711.75,2.06,0.48,70.4,18.41,3210.36,5443.03,21.72,-596946.18,1,False,2,31,
31.2,1,712.47,2.07,0.49,69.9,18.96,3327.82,5649.16,22.15,-596854.63,1,False,2,31,
31.76,1,713.16,2.08,0.5,69.4,19.5,3447.5,5859.54,22.59,-596759.28,1,False,2,31,
32.32,1,713.83,2.09,0.5,68.9,20.04,3569.4,6074.21,23.02,-596660.03,1,False,2,31,
32.88,1,714.46,2.1,0.51,68.41,20.58,3693.52,6293.23,23.46,-596556.76,1,False,2,31,
33.44,1,715.05,2.12,0.51,67.92,21.13,3819.87,6516.64,23.91,-596449.35,1,False,2,31,
34,1,715.62,2.13,0.52,67.43,21.67,3948.46,6744.49,24.35,-596337.67,1,False,2,31,
34.56,1,716.14,2.14,0.53,66.94,22.21,4079.3,6976.83,24.8,-596221.59,1,False,2,31,
35.12,1,716.64,2.15,0.53,66.46,22.74,4212.38,7213.72,25.25,-596100.97,1,False,2,31,
35.68,1,717.1,2.16,0.54,65.98,23.28,4347.72,7455.19,25.7,-595975.67,1,False,2,31,
36.24,1,717.52,2.18,0.55,65.5,23.81,4485.33,7701.33,26.16,-595845.59,1,False,2,31,
36.8,1,717.91,2.19,0.55,65.03,24.34,4625.21,7952.19,26.62,-595710.6,1,False,2,31,
37.36,1,718.27,2.2,0.56,64.56,24.86,4767.37,8207.86,27.08,-595570.48,1,False,2,31,
37.92,1,718.58,2.22,0.56,64.08,25.38,4911.83,8468.79,27.55,-595424.85,1,False,2,31,
38.48,1,718.86,2.23,0.57,63.61,25.9,5058.61,8735.11,28.03,-595273.47,1,False,2,31,
39.04,1,719.11,2.24,0.58,63.14,26.41,5207.71,9006.29,28.51,-595116.44,1,False,2,31,
39.6,1,719.31,2.26,0.58,62.67,26.91,5359.14,9282.58,28.99,-594953.44,1,False,2,31,
40.16,1,719.48,2.27,0.59,62.21,27.41,5512.92,9564.56,29.48,-594783.96,1,False,2,31,
40.72,1,719.61,2.28,0.59,61.74,27.9,5669.07,9852.89,29.97,-594607.38,1,False,2,31,
41.28,1,719.7,2.3,0.6,61.27,28.39,5827.63,10148.15,30.48,-594423.15,1,False,2,31,
41.84,1,719.76,2.31,0.61,60.81,28.89,5988.64,10450.68,30.99,-594230.83,1,False,2,31,
42.4,1,719.77,2.32,0.61,60.34,29.38,6152.14,10760.48,31.52,-594030.19,1,False,2,31,
42.96,1,719.75,2.34,0.62,59.88,29.87,6318.16,11077.21,32.06,-593821.2,1,False,2,31,
43.52,1,719.68,2.35,0.62,59.42,30.34,6486.72,11400.12,32.6,-593604.09,1,False,2,31,
44.08,1,719.58,2.37,0.63,58.95,30.8,6657.83,11728.53,33.14,-593379.06,1,False,2,31,
44.64,1,719.44,2.38,0.63,58.49,31.24,6831.49,12062.4,33.69,-593145.89,1,False,2,31,
45.2,1,719.26,2.39,0.64,58.03,31.66,7007.7,12401.74,34.24,-592904.31,1,False,2,31,
45.76,1,719.04,2.41,0.65,57.57,32.05,7186.46,12746.59,34.79,-592654.02,1,False,2,31,
46.32,1,718.77,2.42,0.65,57.1,32.42,7367.77,13096.95,35.35,-592394.73,1,False,2,31,
46.88,1,718.47,2.44,0.66,56.64,32.77,7551.62,13452.85,35.91,-592126.14,1,False,2,31,
47.44,1,718.13,2.45,0.66,56.18,33.09,7738.02,13814.3,36.47,-591847.94,1,False,2,31,
48,1,717.75,2.47,0.67,55.71,33.38,7926.97,14181.33,37.03,-591559.79,1,False,2,31,
48.56,1,717.33,2.48,0.67,55.25,33.65,8118.46,14553.97,37.6,-591261.36,1,False,2,31,
49.12,1,716.86,2.5,0.68,54.78,33.89,8312.49,14932.25,38.18,-590952.31,1,False,2,31,
49.68,1,716.36,2.51,0.68,54.32,34.1,8509.06,15316.19,38.75,-590632.28,1,False,2,31,
50.24,1,715.82,2.53,0.69,53.86,34.28,8708.16,15705.84,39.34,-590300.86,1,False,2,31,
50.8,1,715.23,2.54,0.69,53.39,34.34,8909.8,16101.29,39.92,-589957.65,1,False,2,31,
51.36,1,714.61,2.56,0.7,52.93,34.21,9113.98,16502.57,40.51,-589602.24,1,False,2,31,
51.92,1,713.94,2.58,0.7,52.47,34.05,9320.69,16909.74,41.1,-589234.22,1,False,2,31,
52.48,1,713.24,2.59,0.71,52,33.88,9529.93,17322.84,41.7,-588853.12,1,False,2,31,
53.02,1,712.5,2.61,0.71,51.54,33.68,9741.7,17741.98,42.3,-588458.47,1,False,2,31,
53.6,1,711.71,2.62,0.72,51.08,33.46,9956,18167.23,42.91,-588049.76,1,False,2,31,
54.16,1,710.89,2.64,0.72,50.61,33.22,10172.82,18598.67,43.52,-587626.49,1,False,2,31,
54.72,1,710.02,2.66,0.73,50.15,32.96,10392.18,19036.41,44.14,-587188.12,1,False,2,31,
55.28,1,709.12,2.67,0.73,49.69,32.68,10614.06,19480.54,44.77,-586734.12,1,False,2,31,
55.84,1,708.17,2.69,0.74,49.23,32.38,10838.46,19931.11,45.4,-586263.91,1,False,2,31,
56.4,1,707.18,2.71,0.74,48.76,32.06,11065.4,20388.2,46.03,-585776.95,1,False,2,31,
56.96,1,706.16,2.72,0.75,48.3,31.73,11294.86,20851.82,46.68,-585272.67,1,False,2,31,
57.52,1,705.09,2.74,0.75,47.84,31.38,11526.84,21322,47.33,-584750.51,1,False,2,31,
58.08,1,703.98,2.76,0.75,47.37,31.01,11761.35,21798.72,47.98,-584209.91,1,False,2,31,
58.64,1,702.84,2.78,0.76,46.91,30.63,11998.37,22282,48.64,-583650.41,1,False,2,31,
59.2,1,701.65,2.79,0.76,46.44,30.23,12237.9,22771.67,49.31,-583071.39,1,False,2,31,
59.76,1,700.42,2.81,0.77,45.98,29.81,12479.94,23267.53,49.98,-582472.28,1,False,2,31,
60.46,1,698.69,2.9,0.81,45.46,29.28,12786.03,23899.52,50.84,-581686.26,1,False,2,31,
61.12,1,696.85,3.06,0.89,45.46,28.83,13078.52,24541.21,51.75,-580875.27,1,False,2,31,
61.76,1,694.51,3.22,0.96,45.72,28.47,13366.34,25237.85,52.78,-580023.7,1,False,2,31,
62.4,1,691.89,3.22,0.96,45.9,28.16,13658.86,25990.52,53.93,-579122.72,1,False,2,31,
