Apoapsis,980km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
0.24,1,1789.02,1.59,0.23,89.92,0,118.05,88.17,0.11,-6359775.37,1,False,0,41,
0.84,1,1795.93,1.6,0.23,89.98,0.01,119.88,91.09,0.46,-6359776.23,1,False,0,41,
1.44,1,1802.98,1.6,0.23,89.91,0.03,123.81,97.37,0.82,-6359776.44,1,False,0,41,
2.04,1,1810.17,1.61,0.22,89.75,0.07,129.86,107.08,1.19,-6359775.41,1,False,0,41,
2.64,1,1817.5,1.61,0.22,89.57,0.12,138.05,120.26,1.55,-6359772.9,1,False,0,41,
3.24,1,1824.97,1.62,0.22,89.39,0.19,148.4,136.98,1.92,-6359768.88,1,False,0,41,
3.84,1,1832.57,1.63,0.22,89.21,0.27,160.92,157.28,2.3,-6359763.36,1,False,0,41,
4.44,1,1840.3,1.63,0.21,89.02,0.37,175.64,181.21,2.67,-6359756.38,1,False,0,41,
5.04,1,1848.16,1.64,0.21,88.84,0.48,192.57,208.82,3.05,-6359747.94,1,False,0,41,
5.64,1,1856.15,1.64,0.21,88.66,0.61,211.73,240.16,3.43,-6359738.01,1,False,0,41,
6.24,1,1864.26,1.65,0.21,88.47,0.76,233.14,275.28,3.82,-6359726.57,1,False,0,41,
6.84,1,1872.48,1.66,0.21,88.29,0.92,256.8,314.23,4.2,-6359713.65,1,False,0,41,
7.44,1,1880.83,1.66,0.21,88.1,1.1,282.75,357.04,4.59,-6359699.19,1,False,0,41,
8.02,1,1889.28,1.67,0.21,87.91,1.3,310.99,403.76,4.99,-6359683.19,1,False,0,41,
8.64,1,1897.84,1.68,0.2,87.72,1.51,341.55,454.42,5.38,-6359665.6,1,False,0,41,
9.24,1,1906.51,1.69,0.2,87.53,1.74,374.42,509.07,5.78,-6359646.41,1,False,0,41,
9.84,1,1915.28,1.69,0.21,87.34,1.99,409.63,567.74,6.18,-6359625.61,1,False,0,41,
10.44,1,1924.15,1.7,0.21,87.15,2.26,447.19,630.47,6.58,-6359603.19,1,False,0,41,
11.04,1,1933.12,1.71,0.21,86.95,2.54,487.12,697.27,6.98,-6359579.12,1,False,0,41,
11.64,1,1942.18,1.71,0.21,86.75,2.84,529.42,768.19,7.39,-6359553.38,1,False,0,41,
12.24,1,1951.33,1.72,0.21,86.56,3.16,574.1,843.25,7.8,-6359525.94,1,False,0,41,
12.84,1,1960.57,1.73,0.21,86.36,3.49,621.18,922.46,8.21,-6359496.83,1,False,0,41,
13.44,1,1969.88,1.74,0.21,86.16,3.84,670.66,1005.86,8.62,-6359466.02,1,False,0,41,
14.04,1,1979.28,1.74,0.21,85.96,4.21,722.56,1093.46,9.03,-6359433.53,1,False,0,41,
14.64,1,1988.76,1.75,0.22,85.76,4.6,776.88,1185.27,9.45,-6359399.31,1,False,0,41,
15.24,1,1998.31,1.76,0.22,85.56,5,833.63,1281.31,9.86,-6359363.38,1,False,0,41,
15.84,1,2007.94,1.77,0.22,85.36,5.42,892.82,1381.59,10.28,-6359325.73,1,False,0,41,
16.6,1,2020.22,1.78,0.22,85.13,5.97,971.3,1514.72,10.81,-6359275.11,1,False,2,41,
17.3,1,2031.63,1.79,0.23,85.02,6.5,1047.07,1643.37,11.3,-6359226.48,1,False,2,41,
18,1,2043.12,1.8,0.23,84.99,7.05,1126.19,1777.77,11.79,-6359177.8,1,False,2,41,
18.7,1,2054.7,1.81,0.23,84.99,7.62,1208.65,1917.88,12.28,-6359129.78,1,False,2,41,
19.4,1,2066.34,1.82,0.24,84.96,8.2,1294.46,2063.74,12.77,-6359083.54,1,False,2,41,
20.1,1,2078.06,1.83,0.24,84.68,8.8,1383.6,2215.51,13.26,-6359037.48,1,False,2,41,
20.8,1,2089.85,1.84,0.25,84.18,9.43,1476.11,2373.45,13.75,-6358985.82,1,False,2,41,
21.5,1,2101.71,1.85,0.25,83.59,10.08,1572,2537.77,14.25,-6358926.53,1,False,2,41,
22.2,1,2113.62,1.86,0.26,83,10.75,1671.32,2708.62,14.76,-6358859.61,1,False,2,41,
22.9,1,2125.59,1.87,0.26,82.43,11.45,1774.09,2886.08,15.27,-6358785.57,1,False,2,41,
23.6,1,2137.62,1.88,0.27,81.89,12.17,1880.35,3070.11,15.78,-6358705.05,1,False,2,41,
24.3,1,2149.69,1.89,0.27,81.38,12.92,1990.11,3260.25,16.29,-6358618.62,1,False,2,41,
25,1,2161.82,1.9,0.27,80.89,13.67,2103.36,3456.33,16.8,-6358526.56,1,False,2,41,
25.7,1,2173.99,1.91,0.28,80.41,14.45,2220.1,3658.35,17.32,-6358428.91,1,False,2,41,
26.4,1,2186.21,1.92,0.29,79.95,15.23,2340.32,3866.33,17.83,-6358325.66,1,False,2,41,
27.1,1,2198.46,1.94,0.29,79.48,16.04,2464.03,4080.25,18.34,-6358216.77,1,False,2,41,
27.8,1,2210.76,1.95,0.3,79.02,16.85,2591.21,4300.1,18.85,-6358102.25,1,False,2,41,
28.5,1,2223.09,1.96,0.3,78.57,17.68,2721.86,4525.88,19.36,-6357982.06,1,False,2,41,
29.2,1,2235.46,1.97,0.31,78.12,18.52,2855.99,4757.57,19.87,-6357856.23,1,False,2,41,
29.9,1,2247.87,1.98,0.31,77.68,19.38,2993.58,4995.14,20.38,-6357724.75,1,False,2,41,
30.6,1,2260.3,2,0.32,77.24,20.24,3134.64,5238.57,20.89,-6357587.62,1,False,2,41,
