Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
0.12,0,2700.93,1.6,0.88,89.97,0,122.08,96.19,0.07,-598435.47,0,1,False,0,18,
0.62,0,2692.37,1.61,0.88,89.87,0.01,123.21,98.02,0.38,-598435.82,0,1,False,0,18,
1.22,0,2682.07,1.61,0.88,89.69,0.02,126.56,103.43,0.75,-598434.88,0,1,False,0,18,
1.82,0,2671.74,1.62,0.88,89.56,0.06,132.1,112.4,1.13,-598433.71,0,1,False,0,18,
2.42,0,2661.38,1.62,0.88,89.42,0.11,139.83,124.99,1.5,-598432.28,0,1,False,0,18,
3,0,2650.98,1.63,0.88,89.26,0.17,149.78,141.23,1.88,-598430.38,0,1,False,0,18,
3.62,0,2640.55,1.64,0.88,89.08,0.26,161.97,161.17,2.27,-598427.93,0,1,False,0,18,
4.2,0,2630.09,1.64,0.88,88.9,0.35,176.39,184.84,2.65,-598424.92,0,1,False,0,18,
4.82,0,2619.6,1.65,0.88,88.71,0.47,193.08,212.3,3.04,-598421.32,0,1,False,0,18,
5.4,0,2609.42,1.65,0.88,88.51,0.59,212.05,243.58,3.43,-598417.12,0,1,False,0,18,
6.02,0,2598.86,1.66,0.88,88.32,0.74,233.3,278.72,3.82,-598412.31,0,1,False,0,18,
6.6,0,2588.26,1.66,0.88,88.12,0.9,256.85,317.75,4.22,-598406.88,0,1,False,0,18,
7.22,0,2577.63,1.67,0.88,87.92,1.08,282.72,360.7,4.61,-598400.81,0,1,False,0,18,
7.8,0,2566.97,1.68,0.88,87.72,1.27,310.91,407.61,5.01,-598394.11,0,1,False,0,18,
8.3,0,2558.42,1.68,0.88,87.55,1.44,335.14,448,5.33,-598388.28,0,1,False,0,18,
8.88,0,2547.33,1.69,0.88,87.35,1.66,367.54,502.1,5.74,-598380.41,0,1,False,0,18,
9.5,0,2536.57,1.69,0.88,87.15,1.9,402.29,560.22,6.14,-598371.87,0,1,False,0,18,
10.1,0,2525.78,1.7,0.88,86.94,2.15,439.4,622.4,6.55,-598362.67,0,1,False,0,18,
10.7,0,2515.31,1.71,0.88,86.74,2.42,478.88,688.64,6.96,-598352.8,0,1,False,0,18,
11.3,0,2504.44,1.72,0.88,86.54,2.7,520.74,758.97,7.36,-598342.24,0,1,False,0,18,
11.9,0,2493.54,1.72,0.88,86.33,2.99,564.98,833.4,7.78,-598331,0,1,False,0,18,
12.5,0,2482.24,1.73,0.88,86.13,3.3,611.61,911.95,8.19,-598319.07,0,1,False,0,18,
13.08,0,2471.63,1.74,0.88,85.92,3.63,660.64,994.63,8.6,-598306.44,0,1,False,0,18,
13.7,0,2460.62,1.74,0.88,85.71,3.96,712.06,1081.44,9.02,-598293.1,0,1,False,0,18,
14.28,0,2449.57,1.75,0.88,85.51,4.31,765.9,1172.4,9.43,-598279.06,0,1,False,0,18,
14.9,0,2438.49,1.76,0.88,85.3,4.67,822.14,1267.5,9.85,-598264.3,0,1,False,0,18,
15.48,0,2427.37,1.77,0.88,85.1,5.05,880.79,1366.76,10.26,-598248.81,0,1,False,0,18,
16.08,0,2416.21,1.77,0.88,84.91,5.42,939.78,1466.65,10.67,-598232.92,0,1,False,2,18,
16.64,0,2405.76,1.78,0.88,84.82,5.78,998.88,1566.75,11.06,-598216.91,0,1,False,2,18,
17.2,0,2395.65,1.79,0.88,84.8,6.15,1060.09,1670.43,11.45,-598201.13,0,1,False,2,18,
17.76,0,2385.14,1.8,0.88,84.58,6.53,1123.4,1777.84,11.84,-598187.25,0,1,False,2,18,
18.32,0,2374.22,1.8,0.88,83.93,6.92,1188.8,1889.05,12.24,-598171.18,0,1,False,2,18,
18.88,0,2364.01,1.81,0.88,83.13,7.32,1256.32,2004.14,12.63,-598151.18,0,1,False,2,18,
19.44,0,2353.4,1.82,0.88,82.35,7.73,1325.95,2122.63,13.03,-598127.96,0,1,False,2,18,
20,0,2342.75,1.83,0.88,81.6,8.14,1397.69,2244.24,13.42,-598101.98,0,1,False,2,18,
20.56,0,2332.07,1.83,0.88,80.89,8.55,1471.51,2368.91,13.81,-598073.29,0,1,False,2,18,
21.12,0,2321.35,1.84,0.88,80.2,8.96,1547.4,2496.63,14.2,-598041.85,0,1,False,2,18,
21.68,0,2310.21,1.85,0.88,79.53,9.37,1625.32,2627.32,14.58,-598007.58,0,1,False,2,18,
22.24,0,2299.43,1.86,0.88,78.87,9.79,1705.27,2760.99,14.96,-597970.52,0,1,False,2,18,
22.8,0,2288.6,1.87,0.88,78.24,10.21,1787.23,2897.6,15.34,-597930.65,0,1,False,2,18,
23.36,0,2277.74,1.87,0.88,77.62,10.63,1871.18,3037.15,15.71,-597888.04,0,1,False,2,18,
23.92,0,2267.24,1.88,0.88,77.03,11.05,1957.1,3179.65,16.08,-597842.72,0,1,False,2,18,
24.46,0,2256.31,1.89,0.88,76.44,11.47,2044.98,3325.08,16.46,-597794.63,0,1,False,2,18,
25.04,0,2244.95,1.9,0.88,75.87,11.89,2134.81,3473.46,16.83,-597743.86,0,1,False,2,18,
25.6,0,2234.34,1.91,0.88,75.31,12.31,2226.57,3624.8,17.19,-597690.44,0,1,False,2,18,
26.16,0,2223.3,1.92,0.88,74.76,12.74,2320.27,3779.09,17.56,-597634.28,0,1,False,2,18,
26.72,0,2212.23,1.93,0.88,74.23,13.16,2415.88,3936.35,17.93,-597575.41,0,1,False,2,18,
27.28,0,2201.12,1.94,0.88,73.7,13.59,2513.41,4096.61,18.3,-597513.87,0,1,False,2,18,
27.84,0,2189.97,1.94,0.88,73.18,14.02,2612.84,4259.88,18.66,-597449.6,0,1,False,2,18,
28.4,0,2178.78,1.95,0.88,72.67,14.45,2714.16,4426.18,19.03,-597382.61,0,1,False,2,18,
28.96,0,2167.55,1.96,0.88,72.16,14.88,2817.38,4595.51,19.39,-597312.84,0,1,False,2,18,
29.52,0,2156.29,1.97,0.88,71.66,15.31,2922.49,4767.89,19.76,-597240.25,0,1,False,2,18,
30.08,0,2144.99,1.98,0.88,71.17,15.74,3029.48,4943.34,20.12,-597164.79,0,1,False,2,18,
30.64,0,2133.65,1.99,0.88,70.68,16.17,3138.36,5121.88,20.49,-597086.43,0,1,False,2,18,
31.2,0,2121.86,2,0.88,70.19,16.6,3249.11,5303.51,20.86,-597005.09,0,1,False,2,18,
