Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
0.14,0,1549.33,1.6,0.89,89.96,0,122.11,96.61,0.08,-598435.33,0,1,False,0,22,
0.72,0,1544.68,1.61,0.89,89.93,0.01,123.63,99.06,0.44,-598435.64,0,1,False,0,22,
1.3,0,1540,1.61,0.89,89.79,0.03,127.18,104.8,0.8,-598435.3,0,1,False,0,22,
1.88,0,1535.3,1.62,0.89,89.65,0.06,132.78,113.88,1.16,-598434.55,0,1,False,0,22,
2.46,0,1530.59,1.62,0.89,89.49,0.11,140.43,126.34,1.53,-598433.37,0,1,False,0,22,
3.02,0,1525.84,1.63,0.89,89.32,0.18,150.16,142.23,1.9,-598431.7,0,1,False,0,22,
3.62,0,1521.08,1.64,0.89,89.14,0.26,161.97,161.59,2.27,-598429.5,0,1,False,0,22,
4.2,0,1516.3,1.64,0.89,88.96,0.35,175.9,184.46,2.64,-598426.76,0,1,False,0,22,
4.78,0,1511.49,1.65,0.89,88.77,0.46,191.94,210.89,3.02,-598423.45,0,1,False,0,22,
5.36,0,1506.7,1.65,0.89,88.58,0.58,210.11,240.91,3.4,-598419.56,0,1,False,0,22,
5.94,0,1501.85,1.66,0.89,88.38,0.72,230.43,274.58,3.78,-598415.1,0,1,False,0,22,
6.52,0,1496.97,1.66,0.89,88.19,0.88,252.92,311.93,4.16,-598410.03,0,1,False,0,22,
7.1,0,1492.08,1.67,0.89,87.99,1.05,277.58,353,4.55,-598404.36,0,1,False,0,22,
7.68,0,1487.15,1.68,0.89,87.79,1.23,304.43,397.84,4.94,-598398.07,0,1,False,0,22,
8.24,0,1482.21,1.68,0.89,87.59,1.43,333.48,446.47,5.33,-598391.16,0,1,False,0,22,
8.84,0,1477.24,1.69,0.89,87.39,1.65,364.74,498.94,5.72,-598383.62,0,1,False,0,22,
9.42,0,1472.2,1.69,0.89,87.19,1.88,398.24,555.29,6.12,-598375.44,0,1,False,0,22,
10,0,1467.19,1.7,0.89,86.99,2.13,433.97,615.55,6.52,-598366.6,0,1,False,0,22,
10.56,0,1462.19,1.71,0.89,86.79,2.39,471.96,679.75,6.92,-598357.12,0,1,False,0,22,
11.16,0,1457.13,1.71,0.89,86.59,2.67,512.21,747.93,7.32,-598346.96,0,1,False,0,22,
11.74,0,1452.04,1.72,0.89,86.38,2.96,554.73,820.13,7.73,-598336.12,0,1,False,0,22,
12.3,0,1446.92,1.73,0.89,86.18,3.26,599.55,896.37,8.14,-598324.6,0,1,False,0,22,
12.9,0,1441.79,1.73,0.89,85.97,3.58,646.65,976.68,8.55,-598312.38,0,1,False,0,22,
13.48,0,1436.62,1.74,0.89,85.77,3.92,696.07,1061.1,8.96,-598299.45,0,1,False,0,22,
14.04,0,1431.43,1.75,0.89,85.56,4.27,747.8,1149.66,9.37,-598285.82,0,1,False,0,22,
14.64,0,1426.22,1.76,0.89,85.36,4.63,801.86,1242.38,9.79,-598271.45,0,1,False,0,22,
15.22,0,1420.98,1.76,0.89,85.15,5,858.25,1339.29,10.21,-598256.34,0,1,False,0,22,
15.88,0,1414.76,1.77,0.89,84.92,5.45,927.36,1458.27,10.7,-598237.39,0,1,False,2,22,
16.62,0,1408.18,1.78,0.89,84.82,5.95,1004.06,1590.58,11.23,-598216.23,0,1,False,2,22,
17.36,0,1401.42,1.79,0.89,84.76,6.47,1086.69,1733.43,11.77,-598195.62,0,1,False,2,22,
18.08,0,1394.6,1.79,0.91,84.11,7,1170.76,1878.75,12.3,-598176.29,0,1,False,2,22,
18.8,0,1387.45,1.79,0.92,83.09,7.53,1258.45,2030.02,12.82,-598150.72,0,1,False,2,22,
19.52,0,1379.99,1.79,0.94,82.08,8.07,1349.72,2186.24,13.34,-598119.9,0,1,False,2,22,
20.24,0,1372.2,1.79,0.96,81.14,8.6,1444.48,2346.87,13.84,-598084.87,0,1,False,2,22,
20.96,0,1364.07,1.78,0.97,80.24,9.13,1542.66,2511.55,14.34,-598045.69,0,1,False,2,22,
21.68,0,1355.59,1.78,0.99,79.38,9.65,1644.16,2679.87,14.81,-598002.34,0,1,False,2,22,
22.4,0,1346.73,1.77,1,78.54,10.16,1748.86,2851.49,15.28,-597954.91,0,1,False,2,22,
23.12,0,1337.76,1.78,1,77.74,10.67,1856.71,3027.52,15.74,-597903.16,0,1,False,2,22,
23.82,0,1328.79,1.79,1,76.96,11.18,1967.68,3208.37,16.2,-597846.97,0,1,False,2,22,
24.56,0,1319.67,1.8,1,76.21,11.69,2081.74,3394.04,16.66,-597786.35,0,1,False,2,22,
25.26,0,1310.61,1.81,1,75.48,12.21,2198.9,3584.61,17.11,-597721.41,0,1,False,2,22,
25.98,0,1301.45,1.82,1,74.77,12.73,2319.14,3780.07,17.57,-597652.03,0,1,False,2,22,
26.7,0,1292.18,1.83,1,74.08,13.25,2442.44,3980.47,18.03,-597578.21,0,1,False,2,22,
27.44,0,1282.97,1.84,1,73.4,13.78,2568.81,4185.84,18.49,-597499.85,0,1,False,2,22,
28.16,0,1273.66,1.85,1,72.74,14.31,2698.25,4396.26,18.95,-597417.01,0,1,False,2,22,
28.88,0,1264.25,1.86,1,72.09,14.84,2830.73,4611.76,19.41,-597329.55,0,1,False,2,22,
29.6,0,1254.88,1.87,1,71.44,15.37,2966.28,4832.38,19.87,-597237.36,0,1,False,2,22,
30.32,0,1245.42,1.88,1,70.81,15.91,3104.88,5058.16,20.33,-597140.32,0,1,False,2,22,
31.04,0,1235.9,1.89,1,70.19,16.44,3246.55,5289.18,20.79,-597038.35,0,1,False,2,22,
31.76,0,1226.28,1.91,1,69.57,16.98,3391.27,5525.47,21.26,-596931.31,0,1,False,2,22,
32.48,0,1216.65,1.92,1,68.96,17.52,3539.06,5767.09,21.73,-596819.02,0,1,False,2,22,
33.2,0,1207.03,1.93,1,68.36,18.06,3689.91,6014.09,22.2,-596701.33,0,1,False,2,22,
33.92,0,1197.3,1.94,1,67.77,18.6,3843.84,6266.53,22.68,-596578.08,0,1,False,2,22,
34.62,0,1187.51,1.95,1,67.18,19.14,4000.86,6524.47,23.15,-596449.09,0,1,False,2,22,
35.34,0,1177.67,1.96,1,66.6,19.67,4160.96,6787.96,23.63,-596314.15,0,1,False,2,22,
36.06,0,1167.72,1.97,1,66.02,20.2,4324.15,7057.03,24.11,-596173.05,0,1,False,2,22,
36.78,0,1157.77,1.99,1,65.44,20.73,4490.44,7331.74,24.6,-596025.55,0,1,False,2,22,
37.5,0,1147.76,2,1,64.87,21.25,4659.84,7612.12,25.09,-595871.4,0,1,False,2,22,
38.22,0,1137.75,2.01,1,64.3,21.77,4832.36,7898.23,25.58,-595710.38,0,1,False,2,22,
38.96,0,1127.63,2.02,1,63.73,22.28,5007.99,8190.1,26.08,-595542.25,0,1,False,2,22,
39.68,0,1117.45,2.03,1,63.17,22.78,5186.76,8487.79,26.58,-595366.73,0,1,False,2,22,
40.4,0,1107.21,2.05,1,62.61,23.27,5368.66,8791.29,27.08,-595183.53,0,1,False,2,22,
41.12,0,1096.91,2.06,1,62.05,23.75,5553.69,9100.04,27.58,-594992.7,0,1,False,2,22,
41.84,0,1086.55,2.07,1,61.49,24.2,5741.84,9412.73,28.08,-594794.69,0,1,False,2,22,
42.56,0,1076.08,2.08,1,60.93,24.63,5933.04,9728.82,28.57,-594589.56,0,1,False,2,22,
43.26,0,1065.6,2.1,1,60.37,25.04,6127.25,10048.33,29.06,-594377.02,0,1,False,2,22,
43.98,0,1055.11,2.11,1,59.82,25.41,6324.41,10371.48,29.55,-594156.67,0,1,False,2,22,
44.7,0,1044.5,2.12,1,59.27,25.76,6524.51,10698.49,30.03,-593928.09,0,1,False,2,22,
45.42,0,1033.84,2.14,1,58.72,26.09,6727.5,11029.6,30.51,-593690.86,0,1,False,2,22,
46.16,0,1023.11,2.15,1,58.18,26.39,6933.36,11365.04,30.99,-593444.56,0,1,False,2,22,
46.88,0,1012.31,2.16,1,57.63,26.67,7142.07,11705.13,31.48,-593188.67,0,1,False,2,22,
47.6,0,1001.46,2.18,1,57.09,26.93,7353.64,12050.21,31.96,-592922.65,0,1,False,2,22,
48.32,0,990.53,2.19,1,56.55,27.16,7568.05,12400.42,32.45,-592646.04,0,1,False,2,22,
49.04,0,979.49,2.2,1,56.01,27.37,7785.3,12755.9,32.94,-592358.35,0,1,False,2,22,
49.76,0,968.49,2.22,1,55.47,27.57,8005.39,13116.83,33.44,-592059.06,0,1,False,2,22,
50.48,0,957.31,2.23,1,54.93,27.73,8228.34,13483.39,33.94,-591747.65,0,1,False,2,22,
51.2,0,946.17,2.25,1,54.4,27.87,8454.15,13855.75,34.44,-591423.53,0,1,False,2,22,
51.9,0,934.91,2.26,1,53.86,27.99,8682.82,14234.13,34.95,-591086.12,0,1,False,2,22,
52.64,0,923.58,2.27,1,53.33,28.01,8914.37,14618.71,35.47,-590734.79,0,1,False,2,22,
53.36,0,912.19,2.29,1,52.8,27.85,9148.82,15009.79,35.99,-590368.8,0,1,False,2,22,
54.06,0,900.66,2.3,1,52.27,27.68,9386.18,15407.57,36.53,-589987.47,0,1,False,2,22,
54.8,0,889.17,2.32,1,51.74,27.49,9626.47,15812.2,37.07,-589590.14,0,1,False,2,22,
55.52,0,877.56,2.33,1,51.21,27.28,9869.72,16223.88,37.61,-589176.09,0,1,False,2,22,
56.24,0,865.88,2.35,1,50.68,27.07,10115.94,16642.81,38.17,-588744.54,0,1,False,2,22,
56.96,0,854.12,2.36,1,50.15,26.84,10365.15,17069.2,38.73,-588294.69,0,1,False,2,22,
57.68,0,842.28,2.38,1,49.62,26.6,10617.38,17503.27,39.31,-587825.72,0,1,False,2,22,
58.38,0,830.37,2.39,1,49.1,26.34,10872.66,17945.2,39.89,-587336.77,0,1,False,2,22,
59.12,0,818.39,2.41,1,48.57,26.07,11131.01,18395.21,40.49,-586826.94,0,1,False,2,22,
59.84,0,806.27,2.42,1,48.05,25.79,11392.46,18853.49,41.1,-586295.32,0,1,False,2,22,
60.38,0,797.97,2.44,1,47.65,25.57,11590.58,19202.69,41.56,-585881.72,0,1,False,2,22,
61.1,0,784.97,2.45,1,47.14,25.27,11857.51,19675.98,42.18,-585309.8,0,1,False,2,22,
61.82,0,772.7,2.47,1,46.61,24.96,12127.59,20157.88,42.82,-584713.47,0,1,False,2,22,
62.54,0,760.34,2.48,1,46.08,24.63,12400.87,20648.43,43.47,-584091.88,0,1,False,2,22,
63.26,0,747.9,2.5,1,45.56,24.29,12677.35,21147.72,44.13,-583444.23,0,1,False,2,22,
63.96,0,735.38,2.52,1,45.03,23.93,12957.05,21655.71,44.8,-582769.68,0,1,False,2,22,
64.7,0,722.77,2.53,1,44.51,23.57,13239.99,22172.32,45.48,-582067.43,0,1,False,2,22,
65.42,0,710.09,2.55,1,43.99,23.19,13526.17,22697.39,46.17,-581336.74,0,1,False,2,22,
66.12,0,697.31,2.57,1,43.46,22.79,13815.6,23230.74,46.88,-580576.92,0,1,False,2,22,
66.86,0,684.46,2.58,1,42.94,22.38,14108.27,23772.08,47.59,-579787.38,0,1,False,2,22,
67.58,0,671.51,2.6,1,42.41,21.95,14404.18,24321.13,48.31,-578967.53,0,1,False,2,22,
68.3,0,658.48,2.62,1,41.89,21.52,14703.31,24877.82,49.03,-578116.43,0,1,False,2,22,
69,0,645.36,2.64,1,41.37,21.07,15005.65,25442.2,49.77,-577232.96,0,1,False,2,22,
69.72,0,632.16,2.65,1,40.84,20.61,15311.18,26014.33,50.52,-576315.96,0,1,False,2,22,
70.44,0,618.86,2.67,1,40.32,20.14,15619.89,26594.27,51.27,-575364.22,0,1,False,2,22,
71.18,0,605.52,2.69,1,39.8,19.67,15931.75,27182.08,52.04,-574376.47,0,1,False,2,22,
71.88,0,591.98,2.71,1,39.27,19.17,16246.76,27777.86,52.81,-573351.4,0,1,False,2,22,
72.62,0,578.46,2.73,1,38.75,18.65,16564.89,28381.75,53.6,-572287.55,0,1,False,2,22,
73.34,0,564.79,2.74,1,38.23,18.13,16886.13,28993.84,54.39,-571183.5,0,1,False,2,22,
74.04,0,551.02,2.76,1,37.7,17.61,17210.46,29614.25,55.2,-570037.77,0,1,False,2,22,
74.78,0,537.16,2.78,1,37.18,17.09,17537.86,30243.08,56.02,-568848.86,0,1,False,2,22,
75.48,0,523.14,2.8,1,36.66,16.58,17868.3,30880.43,56.86,-567615.2,0,1,False,2,22,
76.22,0,509.14,2.82,1,36.14,16.07,18201.77,31526.44,57.7,-566335.16,0,1,False,2,22,
76.94,0,494.98,2.84,1,35.62,15.56,18538.25,32181.22,58.56,-565007.07,0,1,False,2,22,
77.64,0,480.71,2.86,1,35.1,15.07,18877.72,32844.91,59.44,-563629.2,0,1,False,2,22,
78.38,0,466.35,2.88,1,34.57,14.58,19220.14,33517.65,60.33,-562199.76,0,1,False,2,22,
79.1,0,451.82,2.9,1,34.05,14.1,19565.5,34199.59,61.24,-560716.89,0,1,False,2,22,
79.82,0,437.3,2.92,1,33.53,13.63,19913.78,34890.9,62.16,-559178.66,0,1,False,2,22,
80.54,0,422.56,2.94,1,33.01,13.18,20264.94,35591.77,63.1,-557583.07,0,1,False,2,22,
81.26,0,407.83,2.96,1,32.5,12.72,20618.96,36302.39,64.06,-555928.04,0,1,False,2,22,
81.98,0,392.88,2.99,1,31.98,12.28,20975.82,37022.99,65.03,-554211.38,0,1,False,2,22,
82.72,0,377.45,3.01,1,31.44,11.83,21345.52,37774.25,66.06,-552380.45,0,1,False,2,22,
83.22,0,366.99,3.01,0.99,31.09,11.53,21596.97,38286.27,66.76,-551108.24,0,1,False,2,22,
83.72,0,356.53,3.01,0.99,30.73,11.23,21849.73,38800.7,67.46,-549810.53,0,1,False,2,22,
84.22,0,346.06,3.01,0.98,30.37,10.93,22103.78,39317.37,68.17,-548486.73,0,1,False,2,22,
84.94,0,330.58,3.01,0.98,29.84,10.49,22482.06,40086.2,69.23,-546478.83,0,1,False,2,22,
85.68,0,315.09,3.01,0.97,29.31,10.06,22863.01,40859.93,70.3,-544411.53,0,1,False,2,22,
86.44,0,299.6,3.01,0.96,28.78,9.64,23246.54,41638.6,71.38,-542283.52,0,1,False,2,22,
86.94,0,289.13,3.01,0.96,28.43,9.37,23507.09,42167.54,72.11,-540810.58,0,1,False,2,22,
87.44,0,278.66,3.01,0.95,28.07,9.1,23768.76,42698.78,72.85,-539308.91,0,1,False,2,22,
88.18,0,263.17,3.01,0.95,27.54,8.71,24158,43489.25,73.96,-537032.82,0,1,False,2,22,
